id,qid1,qid2,question1,question2,is_duplicate,qID_Q1,part_of_speech_counter_Q1,number_of_numbers_Q1,number_of_words_Q1,length_of_longest_word_Q1,word2vec_mean_of_question_Q1,counter_question_words_Q1,th3_biggest_tfidf_Q1,qID_Q2,part_of_speech_counter_Q2,number_of_numbers_Q2,number_of_words_Q2,length_of_longest_word_Q2,word2vec_mean_of_question_Q2,counter_question_words_Q2,th3_biggest_tfidf_Q2,diff_between_number_of_words,diff_between_number_of_numbers,diff_between_length_of_longest_word,diff_between_counter_question_words,similarity_between_word2vec_mean_of_question,sum_diff_part_of_speech_counter,number_of_common_words,number_of_common_words_without_stopwords,both_containing_parenthesis
0,1,2,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0,1,"Counter({'NN': 5, 'IN': 3, 'WP': 1, 'VBZ': 1, 'DT': 1, 'RB': 1, 'TO': 1, 'VB': 1, '.': 1})",0,14,6,step,1,"{'guide': 8.190173521758819, 'invest': 6.890890537628558, 'step': 15.358695795985657}",2,"Counter({'NN': 4, 'IN': 2, 'WP': 1, 'VBZ': 1, 'DT': 1, 'RB': 1, 'TO': 1, 'VB': 1, '.': 1})",0,12,6,step,1,"{'guide': 8.190173521758819, 'invest': 6.890890537628558, 'step': 15.358695795985657}",2,0,0,0,1.0,2,10,5,0
1,3,4,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0,3,"Counter({'NN': 3, 'WP': 1, 'VBZ': 1, 'DT': 1, 'IN': 1, '(': 1, 'JJ': 1, ')': 1, '.': 1})",0,10,10,diamond,1,"{'diamond': 8.190173521758819, 'koh-i-noor': 8.190173521758819, 'kohinoor': 8.190173521758819}",4,"Counter({'NN': 3, 'DT': 2, 'JJ': 2, 'WP': 1, 'MD': 1, 'VB': 1, 'IN': 1, 'VBD': 1, '(': 1, ')': 1, 'RB': 1, '.': 1})",0,15,10,sanctuary_DellaBianca,1,"{'diamond': 8.190173521758819, 'koh-i-noor': 8.190173521758819, 'kohinoor': 8.190173521758819, 'stole': 8.190173521758819}",5,0,0,0,0.14447841048240662,3,4,3,1
2,5,6,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0,5,"Counter({'NN': 3, 'VB': 2, 'DT': 2, 'IN': 2, 'WRB': 1, 'MD': 1, 'PRP$': 1, 'JJ': 1, 'VBG': 1, '.': 1})",0,14,10,Earn_Rs.####_daily,1,"{'connection': 8.190173521758819, 'speed': 6.723836452965392, 'vpn': 8.595638629866983}",6,"Counter({'VB': 2, 'NN': 2, 'IN': 2, 'WRB': 1, 'MD': 1, 'VBN': 1, 'VBG': 1, '.': 1})",0,10,9,Earn_Rs.####_daily,1,"{'dns': 8.595638629866983, 'hacking': 7.902491449307038, 'increased': 8.190173521758819}",4,0,1,0,1.0,5,3,2,0
3,7,8,Why am I mentally very lonely? How can I solve it?,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?",0,7,"Counter({'RB': 3, 'WRB': 2, '.': 2, 'VB': 2, 'VBP': 1, 'JJ': 1, 'MD': 1, 'PRP': 1})",0,12,8,I,2,"{'lonely': 8.190173521758819, 'mentally': 8.190173521758819, 'solve': 7.3428756613716155}",8,"Counter({'NNP': 4, 'CD': 3, 'NN': 2, 'VB': 1, 'DT': 1, 'WRB': 1, 'VBD': 1, '(': 1, ')': 1, 'VBZ': 1, 'VBN': 1, 'IN': 1, '.': 1})",0,20,9,math,1,"{'[': 13.447672905930784, ']': 13.447672905930784, 'math': 12.488526745407011}",8,0,1,1,0.13272733986377716,10,0,0,0
4,9,10,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?",Which fish would survive in salt water?,0,9,"Counter({'NN': 8, 'IN': 2, ',': 2, 'WDT': 1, 'CD': 1, 'CC': 1, '.': 1})",0,15,8,hydrous,1,"{'di': 8.595638629866983, 'dissolve': 8.595638629866983, 'methane': 8.595638629866983, 'oxide': 8.595638629866983, 'quikly': 8.595638629866983}",10,"Counter({'NN': 3, 'WDT': 1, 'MD': 1, 'VB': 1, 'IN': 1, '.': 1})",0,7,7,salt,1,"{'fish': 8.190173521758819, 'salt': 7.3428756613716155, 'survive': 7.902491449307038}",8,0,1,0,0.40481358766555786,10,2,1,0
5,11,12,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?",1,11,"Counter({'NN': 7, ':': 2, 'VBP': 2, 'DT': 2, 'JJ': 1, 'CC': 1, 'WP': 1, 'VBZ': 1, 'IN': 1, 'PRP': 1, '.': 1})",0,19,9,pioneer_LaLanne,1,"{'...': 8.190173521758819, 'astrology': 8.595638629866983, 'cap': 17.191277259733965, 'capricorn': 8.190173521758819, 'rising': 8.190173521758819}",12,"Counter({'NN': 6, 'DT': 2, 'IN': 2, 'VBP': 1, 'JJ': 1, '(': 1, ',': 1, 'CC': 1, ')': 1, 'WP': 1, 'VBZ': 1, 'VB': 1, 'PRP': 1, '.': 1})",0,19,9,just,1,"{'ascendant': 8.595638629866983, 'capricorn': 16.380347043517638, 'triple': 8.595638629866983}",0,0,0,0,0.5664002895355225,5,7,3,0
6,13,14,Should I buy tiago?,What keeps childern active and far from phone and video games?,0,13,"Counter({'VB': 2, 'MD': 1, 'IN': 1, '.': 1})",0,4,6,buy,0,"{'?': 1.0007542426504639, 'buy': 5.762425285810767, 'tiago': 8.595638629866983}",14,"Counter({'JJ': 2, 'CC': 2, 'NN': 2, 'WP': 1, 'VBZ': 1, 'RB': 1, 'IN': 1, 'NNS': 1, '.': 1})",0,11,8,INCLUDES_previously_unreleased,1,"{'active': 8.190173521758819, 'childern': 8.595638629866983, 'keeps': 8.595638629866983}",7,0,2,1,0.18016473948955536,3,0,0,0
7,15,16,How can I be a good geologist?,What should I do to be a great geologist?,1,15,"Counter({'VB': 2, 'WRB': 1, 'MD': 1, 'DT': 1, 'JJ': 1, 'NN': 1, '.': 1})",0,7,9,Johnnie_Baston_die,1,"{'?': 1.0007542426504639, 'geologist': 8.190173521758819, 'good': 4.526611875629173}",16,"Counter({'VB': 3, 'WP': 1, 'MD': 1, 'TO': 1, 'DT': 1, 'JJ': 1, 'NN': 1, '.': 1})",0,9,9,do,1,"{'?': 1.0007542426504639, 'geologist': 8.190173521758819, 'great': 6.723836452965392}",2,0,0,0,0.5669198632240295,2,4,2,0
8,17,18,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0,17,"Counter({'WRB': 1, 'VBP': 1, 'PRP': 1, 'VB': 1, 'JJ': 1, 'RB': 1, 'IN': 1, 'NNS': 1, '.': 1})",0,8,7,do,1,"{'instead': 7.209344268747093, 'し': 8.595638629866983, 'シ': 8.595638629866983}",18,"Counter({'``': 2, 'CC': 2, ""''"": 2, 'WRB': 1, 'VBP': 1, 'PRP': 1, 'VB': 1, 'RB': 1, 'IN': 1, '.': 1})",0,12,7,do,1,"{'""': 19.111705215640313, '&': 5.854798605941783, 'instead': 7.209344268747093}",4,0,0,0,1.0,2,6,3,0
9,19,20,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0,19,"Counter({'NN': 5, 'VB': 2, '(': 1, ')': 1, ':': 1, 'MD': 1, 'PRP$': 1, '.': 1})",0,12,9,i,0,"{'3400': 8.190173521758819, 'charter': 8.595638629866983, 'dcx': 8.190173521758819, 'motorola': 8.190173521758819, 'motorolla': 8.595638629866983}",20,"Counter({'NN': 4, 'WRB': 1, 'VBP': 1, 'VB': 1, 'IN': 1, 'JJ': 1, '.': 1})",0,10,8,tmo,1,"{'3400': 8.190173521758819, 'dcx': 8.190173521758819, 'motorola': 8.190173521758819}",2,0,1,1,0.524428129196167,7,3,3,0
10,21,22,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0,21,"Counter({'NN': 4, 'TO': 1, 'VB': 1, 'IN': 1, 'NNS': 1, 'VBG': 1, '.': 1})",0,9,10,slits,0,"{'biprism': 8.595638629866983, 'fresnel': 8.595638629866983, 'separation': 8.595638629866983, 'slits': 8.595638629866983}",22,"Counter({'NNS': 4, 'DT': 3, 'IN': 3, 'NN': 2, 'CC': 2, 'WDT': 1, 'VBP': 1, 'MD': 1, 'VB': 1, 'PRP$': 1, '.': 1})",0,19,11,By_Jonas_Elmerraji,1,"{'components': 8.595638629866983, 'durability': 8.595638629866983, 'reliability': 8.595638629866983, 'technicians': 8.595638629866983}",10,0,1,1,0.22915810346603394,9,1,0,0
11,23,24,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1,23,"Counter({'VB': 3, 'WRB': 1, 'VBP': 1, 'CC': 1, 'PRP$': 1, 'NN': 1, 'NNS': 1, '.': 1})",0,9,8,I,1,"{'comments': 7.497026341198874, 'read': 6.516197088187147, 'youtube': 6.5807356093247185}",24,"Counter({'VB': 2, 'WRB': 1, 'MD': 1, 'DT': 1, 'PRP$': 1, 'NN': 1, 'NNS': 1, '.': 1})",0,8,8,I,1,"{'?': 1.0007542426504639, 'comments': 7.497026341198874, 'youtube': 6.5807356093247185}",1,0,0,0,1.0,3,4,3,0
12,25,26,What can make Physics easy to learn?,How can you make physics easy to learn?,1,25,"Counter({'VB': 2, 'WP': 1, 'MD': 1, 'NNS': 1, 'JJ': 1, 'TO': 1, '.': 1})",0,7,7,visit_www.coremetrics.com_privacy,1,"{'easy': 6.890890537628558, 'make': 4.971297696890618, 'physics': 7.091561233090709}",26,"Counter({'VB': 2, 'WRB': 1, 'MD': 1, 'PRP': 1, 'NNS': 1, 'JJ': 1, 'TO': 1, '.': 1})",0,8,7,you,1,"{'easy': 6.890890537628558, 'make': 4.971297696890618, 'physics': 7.091561233090709}",1,0,0,0,0.44853007793426514,1,5,3,0
13,27,28,What was your first sexual experience like?,What was your first sexual experience?,1,27,"Counter({'JJ': 2, 'WP': 1, 'VBD': 1, 'PRP$': 1, 'NN': 1, 'IN': 1, '.': 1})",0,7,10,%_#F########_9v.jsn,1,"{'experience': 6.723836452965392, 'like': 4.509662317315399, 'sexual': 7.6793478979928285}",28,"Counter({'JJ': 2, 'WP': 1, 'VBD': 1, 'PRP$': 1, 'NN': 1, '.': 1})",0,6,10,%_#F########_9v.jsn,1,"{'?': 1.0007542426504639, 'experience': 6.723836452965392, 'sexual': 7.6793478979928285}",1,0,0,0,1.0,1,5,3,0
14,29,30,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?",What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?,0,29,"Counter({'NN': 6, 'DT': 5, 'TO': 3, 'IN': 3, 'VBP': 2, 'NNS': 2, 'VB': 2, 'PRP': 2, 'WDT': 1, 'PRP$': 1, 'JJ': 1, ',': 1, 'WRB': 1, '.': 1})",0,30,11,%_#F########_9v.jsn,2,"{'immigration': 7.497026341198874, 'laws': 15.358695795985657, 'status': 7.497026341198874}",30,"Counter({'NN': 6, 'DT': 5, 'TO': 3, 'IN': 3, 'VBP': 2, 'NNS': 2, 'VB': 2, 'PRP': 2, '.': 2, 'WDT': 1, 'PRP$': 1, 'JJ': 1, 'WRB': 1})",0,30,11,%_#F########_9v.jsn,2,"{'immigration': 7.497026341198874, 'laws': 15.358695795985657, 'status': 7.497026341198874}",0,0,0,0,1.0,2,19,10,0
