qID,word2vec_mean_of_question
1,step
3,diamond
5,Earn_Rs.####_daily
7,I
9,hydrous
11,pioneer_LaLanne
13,buy
15,Johnnie_Baston_die
17,do
19,i
21,slits
23,I
25,visit_www.coremetrics.com_privacy
27,%_#F########_9v.jsn
29,%_#F########_9v.jsn
31,SECRETARY_RICE_Yeah
33,do
35,do
37,Bardissi_Enterprises_welcomes
39,CIT_Reichwald
41,rockets
43,jealous
45,do
47,hp
49,just
51,%_#F########_9v.jsn
53,web
55,do
57,what
59,ll
61,do
63,%_#F########_9v.jsn
65,if
67,INSTANT_VIEW_Reaction
69,%_#F########_9v.jsn
71,do
73,do
75,me
77,do
79,the
81,do
83,THE_PRESIDENT_Yes
85,day
87,just
89,do
91,quickest
93,UDBKL
95,%_#F########_9v.jsn
97,some
99,do
101,BMolina_San_Francisco
103,KIM_CLIJSTERS_Yeah
105,sad
107,thing
109,tax
111,it
113,friend
115,most_Clay_countians
117,sarcasm_font
119,what
121,HTD_app_here
123,Wretched_mortals_open
125,potter
127,do
129,Be_carefull
131,programming
133,ever
135,we
137,testing
139,do
141,immunity
143,narcissistic
145,english
147,DBX_files
149,pioneer_LaLanne
151,bullet
153,breast
155,my
157,can
159,purpose
161,By_Elise_Viebeck
163,sanctuary_DellaBianca
165,it
167,despise
169,##/Hr_part
171,I
173,xxiv_adverse_effects
175,fairness
177,gaming
179,%_#F########_9v.jsn
181,BY_ANDY_THOMPSON
183,LISA_MICHALS_covers
185,QDo
187,nightmare
189,expressionism
191,printing
193,really
195,harry
197,By_Jonas_Elmerraji
199,just
201,%_#F########_9v.jsn
203,Er_um
205,war
207,fiction
209,password
211,actually
213,Chiddy_Bang_maybe
215,love
217,%_#F########_9v.jsn
219,spam
221,english
223,world
225,pain
227,do
229,do
231,we
233,they
235,depressing
237,do
239,Rinse_thoroughly
241,pioneer_LaLanne
243,state
245,mineral
247,the
249,BY_ANDY_THOMPSON
251,INSKEEP_Okay
253,what
255,drank_colas
257,just
259,india
261,mantras
263,talks
265,roycimagala@hotmail.com
267,young
269,strongest
271,muslims
273,do
275,exocytosis
277,hair
279,retirement
281,pakistan
283,websites
285,petrol
287,hole
289,just
291,options
293,you
295,%_#F########_9v.jsn
297,much
299,rabies
301,britain
303,do
305,not
307,virginity
309,you
311,maul
313,know_MyFace_Spacebook
315,6d
317,do
319,answer
321,know
323,love_veronica_Mars
325,stereotypes
327,know_MyFace_Spacebook
329,paypal
331,earphone
333,eligible
335,do
337,fields
339,you
341,salary
343,towns
345,what
347,gods
349,QDo
351,income
353,just
355,de
357,do
359,kiss
361,do
363,Twitter_@_JasonClayworth
365,them
367,Twitter_@_JasonClayworth
369,droid_x
371,battle
373,Sparknotes
375,just
377,it
379,batman
381,good
383,so
385,lord
387,KIM_CLIJSTERS_Yeah
389,you
391,recruiter
393,do
395,do
397,chinese
399,BY_ANDY_THOMPSON
401,easiest
403,%_#F########_9v.jsn
405,robotics
407,hillary
409,are
411,that
413,it
415,what
417,printers
419,important
421,adviser_Minyon_Moore
423,headphone_sockets
425,automation
427,listing
429,that
431,neutron
433,just
435,RUDI_VAN_DER_MERWE
437,do
439,Visit_www.gelending.com_clnews
441,do
443,my
445,japan
447,BY_ANDY_THOMPSON
449,jackpot
451,just
453,love_veronica_Mars
455,cognition
457,waiting
459,we
461,champions
463,drinking
465,lakes
467,porn
469,do
471,do
473,potty
475,KIM_CLIJSTERS_Yeah
477,KF_OOE
479,By_Laurelle_Gilbert
481,temperament
483,just
485,Cassell_chirped
487,smart
489,%_#F########_9v.jsn
491,do
493,bloomberg
495,so
497,just
499,why_Mee_hiccuped
501,you
503,can
505,famously_bruised_shin
507,qualities
509,gulf
511,win
513,just
515,attacks_Akawu
517,%_#F########_9v.jsn
519,do
521,what
523,do
525,your
527,do
530,rank
532,%_#F########_9v.jsn
534,By_Jonas_Elmerraji
536,I
538,prisoner
540,KF_OOE
542,A.It_s
544,I
546,just
548,you
550,Chick_flicks
552,do
554,do
556,cotton
558,marrow
560,any
562,just
564,just
566,just
568,can
570,Pretty_classless
572,actually
574,pakistan
576,do
578,Jadriyah_bridge_sustained
580,BY_ANDY_THOMPSON
582,universe
584,what
586,much
588,omg_i
590,By_Kat_Zeman
592,contractions
594,anyway
596,uSocial.net_s
598,what
600,how
602,we
604,do
606,exist
608,movie
610,KIM_CLIJSTERS_Yeah
612,Ike_skews
614,job
616,understand
618,me
620,iphone
622,rules
624,what
626,responded_Borgella
628,pioneer_LaLanne
630,the
632,do
634,do
636,billionaire
